Time 	 f_s1 	 f_s2 	 f_s3 	 W_s1 	 W_s2 	 W_s3 	 OdoMeasure 	 Heading 	 Roll 	 Pitch 	 Latitude 	 Longitude 	 Altitude 	 OdoLatitude 	 OdoLongitude 	 OdoAltitude
3.1    -0.0557680930115492    0.478202190552013    9.81046238021716    0.00922906831357952    0.00109561994544309    -0.0267523359401914    0.639951482179983    0.869437214296948    0.00567703484332197    0.0283495341198865    0.959931192079874    0.645772025052446    100.019063556312    0.959931455263371    0.64577235506232    99.7787177703507    9.82226855308401
3.2    -0.0575628360698741    0.487136977907182    9.81019319222593    0.00923021676122558    0.00107154392648395    -0.0267269069535485    0.659898714743821    0.872123480695086    0.00585989357169093    0.029260268321971    0.959931198530845    0.645772038411669    100.02093594628    0.959931461232033    0.645772369685657    99.7825103724825    9.82244910315839
3.3    -0.0593571788984502    0.496068010754347    9.80991564073006    0.00923123976950082    0.00104753389239213    -0.0267007327694361    0.679850117029992    0.87480740204593    0.00604272645793873    0.0301706440861345    0.959931205161949    0.645772052219004    100.022926906706    0.959931467379076    0.645772384753513    99.7864210151495    9.82262956769829
3.4    -0.0611511092397209    0.504995172575252    9.80962973922347    0.00923213696142618    0.00102359210028234    -0.0266738142577373    0.699805297824898    0.877488905776408    0.00622553269577265    0.0310806502602852    0.959931211971853    0.645772066476165    100.025040050667    0.959931473703191    0.645772400267561    99.7904532866465    9.82280994436638
3.5    -0.0629446148518456    0.513918346926134    9.80933550160671    0.00923290796232596    0.000999720801283088    -0.0266461523124845    0.719763909298569    0.880167919378823    0.00640831147901747    0.0319902756968589    0.959931218959221    0.64577208118485    100.02727898804    0.959931480203064    0.645772416229462    99.7946107720752    9.82299023082727
3.6    -0.0647376835091529    0.522837417439944    9.8090329421862    0.00923355239985475    0.000975922240359222    -0.0266177478518133    0.739725641171709    0.882844370412811    0.00659106200161905    0.0328995092529553    0.959931226122714    0.645772096346743    100.029647325413    0.959931486877383    0.64577243264086    99.7988970532498    9.82317042474757
3.7    -0.0665303030025952    0.531752267828549    9.80872207567346    0.00923406990402423    0.00095219865613504    -0.0265886018179154    0.759690215798101    0.885518186507298    0.00677378345764789    0.0338083397904748    0.959931233460993    0.645772111963517    100.032148665987    0.95993149372483    0.64577244950339    99.8033157086035    9.82335052379596
3.8    -0.0683224611401982    0.540662781884948    9.80840291718439    0.00923446010722991    0.000928552280717893    -0.0265587151769904    0.77965738399931    0.888189295362461    0.00695647504130265    0.0347167561762547    0.959931240972715    0.645772128036827    100.034786609484    0.959931500744091    0.645772466818669    99.807870313095    9.82353052564316
3.9    -0.0701141457475222    0.549568843485456    9.8080754822384    0.00923472264427774    0.000904985339522358    -0.0265280889191962    0.799626921520897    0.890857624751679    0.00713913594691376    0.0356247472822055    0.959931248656537    0.645772144568318    100.037564752051    0.959931507933845    0.645772484588305    99.8125644381145    9.82371042796203
4    -0.071905344668101    0.558470336591916    9.80773978675768    0.00923485715241065    0.000881500051094981    -0.0264967240585985    0.81959862600473    0.893523102523487    0.00732176536894691    0.0365323019854477    0.959931256511116    0.645772161559619    100.040486686168    0.959931515292774    0.645772502813888    99.8174016513907    9.82389022842756
4.1    -0.0736960457638963    0.567367145253883    9.80739584706632    0.00923486327133496    0.000858098626939597    -0.0264646216331182    0.839572314391864    0.896185656603529    0.00750436250200666    0.0374394091684473    0.959931264535105    0.645772179012346    100.043556000555    0.959931522819558    0.645772521496997    99.8223855168972    9.82406992471697
4.2    -0.0754862369157468    0.576259153610803    9.80704367988942    0.00923474064324669    0.000834783271343247    -0.0264317827044788    0.8595478206863    0.898845214996505    0.00768692654083993    0.0383460577191528    0.959931272727157    0.645772196928098    100.046776280074    0.959931530512873    0.645772540639197    99.8275195947593    9.82424951450965
4.3    -0.0772759060238075    0.585146245894215    9.80668330235232    0.00923448891285776    0.000811556181202712    -0.0263982083581514    0.879524994022499    0.901501705788119    0.00786945668033961    0.0392522365311308    0.959931281085925    0.645772215308463    100.05015110564    0.959931538371399    0.645772560242038    99.8328074411607    9.8244289954873
4.4    -0.0790650410079988    0.594028306429905    9.80631473197956    0.00923410772742208    0.000788419545851664    -0.0263638997032994    0.899503696989625    0.90415505714702    0.00805195211554808    0.0401579345037021    0.959931289610058    0.645772234155014    100.053684054123    0.959931546393811    0.645772580307057    99.8382526082508    9.82460836533391
4.5    -0.0808536298084453    0.602905219640098    9.80593798669411    0.00923359673676158    0.000765375546888463    -0.0263288578727214    0.919483804173633    0.90680519732675    0.00823441204166078    0.041063140542078    0.959931298298207    0.645772253469308    100.057378698261    0.959931554578786    0.645772600835777    99.8438586440517    9.8247876217358
4.6    -0.0826416603859178    0.611776870045613    9.80555308481629    0.00923295559329199    0.00074242635800461    -0.0262930840227933    0.939465200884886    0.909452054667681    0.00841683565402972    0.0419678435574957    0.959931307149023    0.645772273252889    100.06123860656    0.959931562924999    0.645772621829707    99.8496290923651    9.82496676238166
4.7    -0.0844291207222719    0.620643142268024    9.80516004506292    0.00923218395204866    0.000719574144813865    -0.0262565793334085    0.95944778204436    0.912095557598949    0.00859922214816706    0.0428720324673546    0.959931316161153    0.645772293507287    100.065267343203    0.959931571431127    0.645772643290341    99.8555674926801    9.82514578496261
4.8    -0.086215998820885    0.629503921031829    9.8047588865463    0.00923128147071216    0.000696821064682046    -0.0262193450079181    0.979431451205853    0.914735634640399    0.00878157071974867    0.043775696195352    0.959931325333246    0.645772314234016    100.06946846796    0.959931580095843    0.645772665219159    99.8616773800802    9.82532468717221
4.9    -0.0880022827070937    0.638359091166588    9.80434962877319    0.0092302478096338    0.00067416926655754    -0.0261813822730687    0.999416119695239    0.917372214404506    0.00896388056461764    0.0446788236716184    0.95993133466395    0.645772335434575    100.073845536092    0.959931588917822    0.645772687617629    99.8679622851513    9.82550346670651
5    -0.0897879604286225    0.647208537609074    9.80393229164382    0.009229082631861    0.000651620890802505    -0.0261426923789398    1.01940170585074    0.920005225598316    0.00914615087878784    0.0455814038328535    0.959931344151914    0.645772357110451    100.078402098259    0.959931597895739    0.645772710487202    99.874425733889    9.82568212126407
